id,transaction_id,product,quantity,customer,date
1,3582236697115749,Toyota,18,Gard Saltwell,2021-05-20
2,6709512830158633272,Ford,3,Georges Laurenceau,2021-04-12
3,346872313716529,Lexus,11,Jacquette Shearn,2021-04-17
4,3569301640436167,BMW,9,Almira Gary,2021-04-12
5,3554599802388400,Chevrolet,20,Launce Janisson,2021-04-25
6,30099204238089,Dodge,2,Coreen Christoforou,2021-05-01
7,3575724716730498,Mercury,11,Reid Coltart,2021-04-17
8,3574173825631877,Mercury,17,Alexa Hatliffe,2021-04-09
9,3544011411678547,Audi,11,Dorelle Hearmon,2021-04-04
10,375330382074118,Cadillac,2,Nadean Pfaffel,2021-04-22
11,5303175627440954,Toyota,20,Roscoe Harwin,2021-04-09
12,3571312542961265,Mitsubishi,2,Osborne Frossell,2021-05-03
13,337941369830244,Pontiac,12,Jule Pauncefort,2021-04-16
14,5100170955967384,BMW,17,Cathi Dach,2021-05-02
15,6334386108656791,Suzuki,5,Shayne Bour,2021-05-05
16,4913020261933762,Mercedes-Benz,5,Cathee Matushenko,2021-05-13
17,3530534557787448,Honda,13,Amalea Muir,2021-04-15
18,4026587804286290,Mazda,19,Fanny Bramo,2021-05-03
19,201980826661951,Dodge,20,Verena Shuker,2021-04-06
20,5602236148453658,GMC,12,Zachariah Kimmons,2021-05-01
21,3582077519714818,Nissan,19,Marianne Braime,2021-04-09
22,6762894589760215,Geo,5,Wayland Lown,2021-04-23
23,374283339829871,Buick,13,Martino Bending,2021-05-15
24,3586623888174757,Audi,2,Merwin Kovalski,2021-05-15
25,5602250822591824,Infiniti,8,Chiarra Stivens,2021-05-11
26,201646303009838,Lincoln,3,Fernanda Cafferty,2021-04-23
27,4508072868346394,GMC,4,Megan Firmin,2021-05-18
28,56022194535752619,Chevrolet,7,Robby Iacivelli,2021-05-05
29,5602244594160397,Toyota,19,Quintana Duffree,2021-05-08
30,3545500814480724,Buick,16,Therine Mawdsley,2021-05-17
31,3534631298518334,Chevrolet,10,Celinda Isenor,2021-04-03
32,3562753150624847,Cadillac,10,Dannye Dayes,2021-04-22
33,3573114462076944,Chevrolet,9,Dalia Penwright,2021-05-15
34,3549110240710508,BMW,20,Ewart Issett,2021-04-14
35,3531737895031259,Volkswagen,3,Gerta Vickerstaff,2021-05-16
36,633110305902215886,Audi,15,Hubie Simione,2021-04-17
37,3578294166377361,Volkswagen,17,Moss Kenzie,2021-05-09
38,6377087515450079,Mazda,13,Tabbi Linggard,2021-04-20
39,3554514736342266,Toyota,12,Shaine Galway,2021-04-13
40,3548730958318995,Mitsubishi,4,Roscoe Blayney,2021-05-10
41,6333857370178950770,Subaru,10,Zandra Shemming,2021-05-17
42,30150712386082,Mercury,16,Wini Tourmell,2021-04-02
43,3543757402706264,Isuzu,4,Martica Jedrzejczyk,2021-05-10
44,3577601984948382,Pontiac,9,Emeline Crinkley,2021-04-08
45,3581203442582210,Ford,16,Jaquelyn Robertazzi,2021-05-11
46,201402349467204,Mitsubishi,6,Christophe Grugerr,2021-05-12
47,3560604078341133,Chevrolet,12,Axe Dunbobin,2021-04-15
48,3556834568788305,Dodge,8,Karil Castagnasso,2021-04-11
49,30185518398626,Pontiac,20,Griff Littlechild,2021-05-06
50,6763682586985301548,Ford,17,Roxi Ruslin,2021-04-18
